detector,scope_type,scope_id,transition,definition,delta_tp,delta_tn,delta_fp,delta_fn,delta_macro_f1,delta_occupied_precision,delta_occupied_recall,delta_occupied_f1,delta_vacant_precision,delta_vacant_recall,delta_vacant_f1,delta_accuracy,delta_balanced_accuracy,delta_false_free_rate,delta_false_occupied_rate,delta_occupied_count_mae,delta_occupied_count_rmse,delta_occupied_count_mean_signed_error
D1-LL,sequence,gopro34,R1_to_R2,signed_absolute_change_target_minus_source,7.0,-53.0,53.0,-7.0,-0.0067995147486460406,-0.006164247365281358,0.15909090909090912,0.04031729859544428,0.005537270440653441,-0.1055776892430278,-0.053916328092736276,-0.08424908424908417,0.02675660992394069,-0.15909090909090906,0.10557768924302789,1.846153846153846,1.8588602883065453,2.3076923076923075
D1-LL,sequence,gopro36,R0_to_R1,signed_absolute_change_target_minus_source,0.0,-2.0,2.0,0.0,-0.05501591255015914,-0.08333333333333331,0.0,-0.08080808080808077,-0.0016339869281045694,-0.05128205128205132,-0.029223744292237508,-0.04761904761904756,-0.02564102564102566,0.0,0.051282051282051294,1.0,0.9683709267122025,1.0
D1-LL,sequence,gopro36,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-1.0,1.0,0.0,-0.022761865227618694,-0.02777777777777779,0.0,-0.03030303030303033,-0.0008912655971479166,-0.02564102564102566,-0.015220700152207,-0.023809523809523836,-0.012820512820512775,0.0,0.025641025641025633,0.5,1.0560415186675969,0.5
D1-LL,sequence,gopro4,R0_to_R1,signed_absolute_change_target_minus_source,16.0,-16.0,16.0,-16.0,0.1515317272988398,0.21654135338345865,0.5,0.3047619047619047,0.02646140449492962,-0.02772963604852685,-0.001698450164225096,0.0,0.23613518197573652,-0.5,0.027729636048526865,0.9655172413793103,0.9213758393975281,1.103448275862069
D1-LL,sequence,gopro4,R1_to_R2,signed_absolute_change_target_minus_source,-1.0,-38.0,38.0,1.0,-0.07067575035012197,-0.09332443257676903,-0.03125,-0.10311750599520378,-0.004043196416560035,-0.0658578856152513,-0.038233994705040186,-0.0640394088669951,-0.048553942807625594,0.03125,0.0658578856152513,1.3448275862068968,1.3861077851498143,1.2758620689655173
D1-LL,sequence,gopro46,R0_to_R1,signed_absolute_change_target_minus_source,0.0,-4.0,4.0,0.0,-0.004947711239358887,-0.014746543778801843,0.0,-0.006352987889616815,-0.0003815883615549964,-0.006756756756756799,-0.0035424345891009734,-0.006349206349206327,-0.0033783783783785104,0.0,0.006756756756756757,0.13333333333333336,0.1015767103670493,0.13333333333333333
D1-LL,sequence,gopro46,R1_to_R2,signed_absolute_change_target_minus_source,0.0,-72.0,72.0,0.0,-0.06126334177746784,-0.07690253671562083,0.0,-0.05441662730278697,-0.007866703086588323,-0.1216216216216216,-0.06811005625214861,-0.11428571428571432,-0.060810810810810745,0.0,0.12162162162162163,1.7999999999999998,1.957475737708298,2.4
D1-LL,sequence,gopro5,R0_to_R1,signed_absolute_change_target_minus_source,9.0,0.0,0.0,-9.0,0.06518939881419017,0.05816686251468861,0.14754098360655737,0.12359336257867626,0.013168187130093822,0.0,0.0067854350497039695,0.012987012987012991,0.07377049180327877,-0.14754098360655737,0.0,-0.2727272727272726,-0.4465813536810128,0.27272727272727276
D1-LL,sequence,gopro5,R1_to_R2,signed_absolute_change_target_minus_source,-1.0,-38.0,38.0,1.0,-0.10712308049942465,-0.3512310110005239,-0.016393442622950838,-0.18198338525441327,-0.004076823675475683,-0.060126582278481,-0.03226277574443592,-0.05627705627705626,-0.038260012450715974,0.016393442622950838,0.060126582278481014,0.7575757575757575,0.6075023129549046,1.121212121212121
D1-LL,sequence,gopro8,R0_to_R1,signed_absolute_change_target_minus_source,16.0,0.0,0.0,-16.0,0.14558571910403906,0.10926829268292682,0.33333333333333337,0.2708942588887178,0.039010053104438724,0.0,0.02027717931936046,0.03809523809523807,0.16666666666666663,-0.3333333333333333,0.0,-0.7,-0.7059276138806818,0.7999999999999999
